t7, Commercial
t8, Commercial
t9, Commercial
t11, Commercial
t12, Commercial
t16, Commercial
t27, Commercial
t28, Commercial
t34, Commercial
t36, Commercial
t37, Commercial
t39, Commercial
t40, Commercial
t42, Commercial
t43, Commercial
t44, Commercial
t45, Commercial
t48, Commercial
t51, Commercial
t57, Commercial
t59, Commercial
t69, Commercial
t70, Commercial
t71, Commercial
t74, Commercial
t77, Commercial
t78, Commercial
t80, Commercial
t82, Commercial
t83, Commercial
t84, Commercial
t85, Commercial
t86, Commercial
t87, Commercial
t92, Commercial
t94, Commercial
t97, Commercial
t100, Commercial
t108, Commercial
t109, Commercial
t114, Commercial
t115, Commercial
t7, 139.21
t8, 131.44
t9, 114.04
t11, 94.65
t12, 93.83
t16, 80.38
t27, 47.21
t28, 45.14
t34, 32.14
t36, 28.55
t37, 24.93
t39, 20.80
t40, 17.48
t42, 15.00
t43, 14.71
t44, 14.51
t45, 13.87
t48, 12.60
t51, 10.55
t57, 9.63
t59, 9.36
t69, 6.40
t70, 5.96
t71, 5.94
t74, 4.93
t77, 4.56
t78, 4.06
t80, 3.89
t82, 3.67
t83, 3.54
t84, 3.41
t85, 3.39
t86, 2.98
t87, 2.38
t92, 1.67
t94, 1.64
t97, 1.27
t100, 0.93
t108, 0.35
t109, 0.30
t114, 0.12
t115, 0.06
