7, Commercial
8, Commercial
9, Commercial
11, Commercial
12, Commercial
16, Commercial
27, Commercial
28, Commercial
34, Commercial
36, Commercial
37, Commercial
39, Commercial
40, Commercial
42, Commercial
43, Commercial
44, Commercial
45, Commercial
48, Commercial
51, Commercial
57, Commercial
59, Commercial
69, Commercial
70, Commercial
71, Commercial
74, Commercial
77, Commercial
78, Commercial
80, Commercial
82, Commercial
83, Commercial
84, Commercial
85, Commercial
86, Commercial
87, Commercial
92, Commercial
94, Commercial
97, Commercial
100, Commercial
108, Commercial
109, Commercial
114, Commercial
115, Commercial
7, 139.21
8, 131.44
9, 114.04
11, 94.65
12, 93.83
16, 80.38
27, 47.21
28, 45.14
34, 32.14
36, 28.55
37, 24.93
39, 20.80
40, 17.48
42, 15.00
43, 14.71
44, 14.51
45, 13.87
48, 12.60
51, 10.55
57, 9.63
59, 9.36
69, 6.40
70, 5.96
71, 5.94
74, 4.93
77, 4.56
78, 4.06
80, 3.89
82, 3.67
83, 3.54
84, 3.41
85, 3.39
86, 2.98
87, 2.38
92, 1.67
94, 1.64
97, 1.27
100, 0.93
108, 0.35
109, 0.30
114, 0.12
115, 0.06
